Month,Chinese American Museum,,,,,
2014-01-01T00:00:00.000,1581,,,,,
2014-02-01T00:00:00.000,1785,,,,,
2014-03-01T00:00:00.000,3229,,,,Column1,
2014-04-01T00:00:00.000,2129,,,,,
2014-05-01T00:00:00.000,3676,,,,Mean,2673.666667
2014-06-01T00:00:00.000,2121,,,,Standard Error,129.0220211
2014-07-01T00:00:00.000,2239,,,,Median,2415
2014-08-01T00:00:00.000,1769,,,,Mode,3057
2014-09-01T00:00:00.000,1073,,,,Standard Deviation,1117.363479
2014-10-01T00:00:00.000,1979,,,,Sample Variance,1248501.144
2014-11-01T00:00:00.000,2404,,,,Kurtosis,5.761656085
2014-12-01T00:00:00.000,1319,,,,Skewness,1.94501483
2015-01-01T00:00:00.000,1823,,,,Range,7178
2015-02-01T00:00:00.000,1558,,,,Minimum,524
2015-03-01T00:00:00.000,2336,,,,Maximum,7702
2015-04-01T00:00:00.000,3057,,,,Sum,200525
2015-05-01T00:00:00.000,4009,,,,Count,75
2015-07-01T00:00:00.000,3057,,,,,
2015-06-01T00:00:00.000,2544,,,,,
2015-08-01T00:00:00.000,2415,,,,,
2015-09-01T00:00:00.000,1398,,,,,
2015-10-01T00:00:00.000,2237,,,,,
2015-11-01T00:00:00.000,2850,,,,,
2015-12-01T00:00:00.000,2075,,,,,
2016-01-01T00:00:00.000,2150,,,,,
2016-02-01T00:00:00.000,2547,,,,,
2017-05-01T00:00:00.000,5585,,,,,
2017-06-01T00:00:00.000,2946,,,,,
2016-03-01T00:00:00.000,7702,,,,,
2016-08-01T00:00:00.000,2153,,,,,
2016-09-01T00:00:00.000,1754,,,,,
2016-10-01T00:00:00.000,2607,,,,,
2016-11-01T00:00:00.000,2248,,,,,
2016-12-01T00:00:00.000,2263,,,,,
2017-01-01T00:00:00.000,2531,,,,,
2017-02-01T00:00:00.000,2139,,,,,
2017-03-01T00:00:00.000,5966,,,,,
2017-04-01T00:00:00.000,3273,,,,,
2016-05-01T00:00:00.000,4565,,,,,
2016-06-01T00:00:00.000,3034,,,,,
2016-04-01T00:00:00.000,3485,,,,,
2016-07-01T00:00:00.000,2776,,,,,
2017-07-01T00:00:00.000,2939,,,,,
2017-08-01T00:00:00.000,1784,,,,,
2017-09-01T00:00:00.000,1704,,,,,
2017-10-01T00:00:00.000,2419,,,,,
2017-11-01T00:00:00.000,2685,,,,,
2017-12-01T00:00:00.000,2768,,,,,
2018-03-01T00:00:00.000,4529,,,,,
2018-02-01T00:00:00.000,2710,,,,,
2018-04-01T00:00:00.000,2750,,,,,
2018-01-01T00:00:00.000,2477,,,,,
2018-05-01T00:00:00.000,4960,,,,,
2018-06-01T00:00:00.000,2518,,,,,
2018-07-01T00:00:00.000,2620,,,,,
2018-08-01T00:00:00.000,2409,,,,,
2018-09-01T00:00:00.000,2146,,,,,
2018-10-01T00:00:00.000,2364,,,,,
2018-11-01T00:00:00.000,2385,,,,,
2018-12-01T00:00:00.000,2078,,,,,
2019-01-01T00:00:00.000,2330,,,,,
2019-02-01T00:00:00.000,2371,,,,,
2019-03-01T00:00:00.000,3804,,,,,
2019-04-01T00:00:00.000,3484,,,,,
2019-05-01T00:00:00.000,4570,,,,,
2019-06-01T00:00:00.000,2853,,,,,
2019-07-01T00:00:00.000,2271,,,,,
2019-08-01T00:00:00.000,2017,,,,,
2019-09-01T00:00:00.000,1458,,,,,
2019-10-01T00:00:00.000,1987,,,,,
2019-11-01T00:00:00.000,2808,,,,,
2019-12-01T00:00:00.000,2388,,,,,
2020-01-01T00:00:00.000,2603,,,,,
2020-02-01T00:00:00.000,2425,,,,,
2020-03-01T00:00:00.000,524,,,,,
2020-04-01T00:00:00.000,0,,,,,
2020-05-01T00:00:00.000,0,,,,,
2020-06-01T00:00:00.000,0,,,,,
2020-07-01T00:00:00.000,0,,,,,
2020-08-01T00:00:00.000,0,,,,,
2020-09-01T00:00:00.000,0,,,,,
2020-10-01T00:00:00.000,0,,,,,
2020-11-01T00:00:00.000,0,,,,,
2020-12-01T00:00:00.000,0,,,,,
2021-01-01T00:00:00.000,0,,,,,
2021-02-01T00:00:00.000,0,,,,,
2021-03-01T00:00:00.000,0,,,,,
2021-04-01T00:00:00.000,0,,,,,
2021-05-01T00:00:00.000,0,,,,,
2021-06-01T00:00:00.000,0,,,,,
